oil_proxy,rpoil,woprod,woinv,wip,usip,uscpi
7.575744377358138e-12,-38.056553417601265,-12.439048130260971,10.131827757949736,-22.117368411445284,-16.66185910314175,-18.350666158621323
7.575744377358138e-12,-40.557590162908355,-12.299051490122793,9.973457548880674,-21.68012437921908,-16.23008357551555,-18.17840082747665
7.575744377358138e-12,-44.138763539798276,-11.669743823881618,9.6742551607216,-21.43589079462737,-15.989031113153374,-17.920557968682203
7.575744377358138e-12,-35.00352256923054,-11.130746832369596,9.482622851630936,-21.27145499219955,-15.439321959514643,-17.321497554966527
7.575744377358138e-12,-37.73430377080547,-11.621105230326748,9.895496748825167,-21.18021100583394,-15.547311278750783,-17.065851910836386
2.3113179450075756,-43.50641497621962,-12.20465919396679,10.575901730178543,-20.617337551457354,-15.28782690552299,-16.641222822691248
7.575744377358138e-12,-50.37584143628925,-11.466629332927823,10.896376735128797,-20.808737037896037,-15.238537727133007,-16.218389211739122
7.575744377358138e-12,-50.629271673433436,-9.481678795624475,9.643631224283126,-20.018748804953248,-14.812379451133381,-15.797335958104782
7.575744377358138e-12,-58.10026148535769,-8.881623526028761,9.50637179252658,-19.611839744245458,-15.097281947868055,-15.378048132101185
7.575744377358138e-12,-63.169084503901644,-6.077068134150295,9.856177983844873,-19.597904573513347,-14.604216729457164,-15.043879065910915
5.929392536007576,-62.213193860732844,-5.325648770480257,9.282920290987136,-18.945953473536747,-14.44880947558579,-14.710822971194432
7.575744377358138e-12,-47.3787525488367,-4.923604742411044,9.613932639647487,-18.057790307776713,-13.96453718714372,-14.3788724589092
7.575744377358138e-12,-37.757164358161845,-9.738995193539267,9.917627858938658,-18.07003112038666,-13.670399864209116,-13.965477905736407
7.575744377358138e-12,-38.96353409530059,-10.558664271929729,9.463015412503296,-18.499749605275326,-14.122629130306052,-13.635988316051112
7.575744377358138e-12,-30.762551625924857,-9.87031596108136,9.471944975575411,-17.68657430359889,-13.904206677017612,-13.143780595508247
7.575744377358138e-12,-23.61280824503632,-9.139210557942079,10.10163437159008,-17.05206659357077,-13.816971104298375,-12.409981950216945
7.575744377358138e-12,-29.00847216102187,-9.273136997060192,10.717003705749107,-17.795153180457532,-14.522170495020077,-11.92375732941349
-3.210775105992424,-29.466188703082764,-9.210379542383407,10.126281154513094,-16.74717530967814,-14.472786965069474,-11.600916048201611
7.575744377358138e-12,-31.60902048572285,-8.336087275543832,10.22704547857029,-17.365907555468425,-15.36417829316025,-11.279113678781584
7.575744377358138e-12,-37.49029382861494,-6.848227710053607,11.860799821669275,-16.94081435680988,-14.466987960145786,-11.279113678781584
0.9265411810075758,-32.104549614234145,-6.710912558192831,11.649606902014966,-16.998132131332454,-14.827950152766505,-11.038439675725044
7.575744377358138e-12,-30.079311173226188,-5.772894718362522,10.745454396857667,-17.137328830879937,-14.893090277136764,-10.558822449375725
-1.8641299049924243,-31.83528492779243,-4.535736279043704,13.2354687819618,-16.685505699438124,-14.560126159496008,-10.160891164227621
7.575744377358138e-12,-25.9512308165813,-5.1149650209406445,15.524470692140426,-15.915883730197208,-13.941772563893437,-9.84368233361323
