DATES,LIP,UNEMP,LCPI,FFR,LPCOM,LRCDUR,LRCND,LRCSV,RRSHOCK,CUMRRSHOCK,CUMRRSHOCKORIG,BCSHOCK,CUMBCSHOCK,MP1_TC,FF4_TC,ED2_TC,ED3_TC,ED4_TC,GS1,EBP,szshock,rrshock83,cumrrshock83,rrshock83b,mp1_vr,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,wu_xia,lm1,lm2,ltr,lnbr,factor1,factor2,factor3,factor4,factor5
1968.666667,3.652806581,3.4,3.55820113,5.78,4.568298711,2.702233316,3.687027741,3.300345207,,,,,,,,,,,5.45,,-1.7028,,,,,,,,,,,5.5,5.261134575,6.316442404,3.068145954,2.559627529,-0.20376634,0.14341408,-0.346955172,0.012968713,-0.015586459
1968.75,3.654789954,3.4,3.563882964,5.91,4.576770711,2.699413008,3.688529393,3.303547801,,,,,,,,,,,5.57,,0.90923,,,,,,,,,,,6,5.267858159,6.323641859,3.096708191,2.571542956,-0.191500442,0.070641819,-0.157337788,-0.042351929,-0.057573617
1968.833333,3.667640496,3.4,3.56671182,5.82,4.605170186,2.687983539,3.702733048,3.308021589,,,,,,,,,,,5.75,,-1.2438,,,,,,,,,,,6,5.278114659,6.33221334,3.102162217,2.572917527,-0.297189017,0.202781616,-0.120148175,-0.073857472,-0.057222349
1968.916667,3.670794401,3.4,3.572345638,6.02,4.61254294,2.694897415,3.689304364,3.310725478,,,,,,,,,,,6.19,,0.66885,,,,,,,,,,,4,5.285232127,6.340006508,3.111513307,2.566563439,-0.484235316,0.046261249,-0.11421939,-0.027188693,-0.137948413
1969,3.676827116,3.4,3.575150689,6.3,4.63356326,2.718264524,3.699027785,3.312912467,,,,,,,,,,,6.34,,1.2288,,,,,,,,,,,6.38,5.29179615,6.344407536,3.135494216,2.556684528,-0.230606402,0.062794051,-0.019620151,-0.306099284,0.099231533
1969.083333,3.68320589,3.4,3.577947893,6.61,4.655387902,2.721426998,3.707921989,3.318467734,,,,,,,,,,,6.41,,0.51399,,,,,,,,,,,7,5.294811227,6.348964151,3.120998352,2.555598078,-0.306065212,0.107530347,-0.062725683,-0.175135659,0.003758587
1969.166667,3.691017168,3.4,3.586292865,6.79,4.665606555,2.698471135,3.706793043,3.317525876,-0.2316979,-0.2316979,-0.2459423,,,,,,,,6.34,,-0.3613,,,,,,,,,,,6.25,5.298317367,6.353326018,3.102162217,2.5456097,-0.359554097,0.105086819,-0.184716304,-0.10481916,-0.096860992
1969.25,3.687328252,3.4,3.591817741,7.41,4.680092113,2.710713319,3.705244808,3.323019601,0.4568731,0.2251752,0.1589567,,,,,,,,6.26,,3.0304,,,,,,,,,,,8,5.301811256,6.355586692,3.117551597,2.523165362,-0.368201624,0.37935147,-0.022967047,0.022943733,-0.087839002
1969.333333,3.683542739,3.4,3.594568775,8.67,4.698660529,2.710912767,3.714303506,3.32991618,0.2106271,0.4358023,0.3621081,,,,,,,,6.42,,7.0494,,,,,,,,,,,9.38,5.302309388,6.35697534,3.149525747,2.52332576,-0.070463909,0.340667605,-0.201987291,-0.134001339,0.157504615
1969.416667,3.693264824,3.5,3.60004824,8.9,4.712408937,2.708583392,3.700758617,3.332561589,0.0010019,0.4368042,0.3416134,,,,,,,,7.04,,-0.5504,,,,,,,,,,,7.5,5.304796333,6.360438547,3.123377627,2.518502599,-0.143575591,0.352797009,-0.335909101,-0.202539622,0.184845838
